customer_id,segment,plan,recency,frequency,monetary,r_score,f_score,m_score,customer_segment
CUST_000048,Mid-Market,Business,23,54,21985.62,2,5,5,At Risk
CUST_000049,Small Business,Enterprise,16,29,30893.73,3,3,5,Loyal Customers
CUST_000050,Small Business,Basic,14,38,1869.44,3,4,2,Promising
CUST_000051,Small Business,Business,16,29,11729.27,3,3,4,Loyal Customers
CUST_000053,Mid-Market,Professional,22,8,1220.56,2,1,2,Lost
CUST_000054,Startup,Professional,10,19,2827.57,4,2,3,New Customers
CUST_000055,Mid-Market,Professional,20,33,4935.3099999999995,2,3,3,At Risk
CUST_000056,Small Business,Business,23,10,4005.08,2,1,3,Hibernating High Value
CUST_000057,Startup,Professional,3,23,3467.59,5,2,3,New Customers
CUST_000058,Startup,Professional,14,11,1597.87,3,1,2,Promising
CUST_000059,Small Business,Basic,23,39,1944.57,2,4,2,Need Attention
CUST_000060,Startup,Basic,10,60,3047.59,4,5,3,Loyal Customers
CUST_000061,Startup,Basic,11,33,1604.18,4,3,2,Promising
CUST_000062,Startup,Basic,16,55,2832.22,3,5,3,Loyal Customers
CUST_000063,Small Business,Professional,10,18,2691.75,4,2,3,New Customers
CUST_000064,Mid-Market,Basic,9,48,2408.25,4,5,2,Promising
CUST_000065,Mid-Market,Basic,8,41,2056.57,4,4,2,Promising
CUST_000066,Mid-Market,Business,20,50,20589.56,2,5,5,At Risk
CUST_000067,Small Business,Business,17,60,24316.07,3,5,5,Loyal Customers
CUST_000068,Enterprise,Business,3,53,21523.52,5,5,5,Champions
CUST_000070,Small Business,Basic,30,15,722.38,1,2,1,Lost
CUST_000071,Mid-Market,Basic,13,42,2065.34,3,4,2,Promising
CUST_000074,Enterprise,Business,30,57,23431.92,1,5,5,At Risk
CUST_000075,Startup,Basic,9,15,746.46,4,2,1,New Customers
CUST_000076,Enterprise,Basic,18,29,1480.15,3,3,2,Promising
CUST_000077,Small Business,Professional,13,12,1768.2,3,2,2,Promising
CUST_000078,Startup,Basic,9,13,642.45,4,2,1,New Customers
CUST_000079,Small Business,Professional,8,44,6814.38,4,4,4,Champions
CUST_000080,Startup,Enterprise,17,35,35667.88,3,4,5,Loyal Customers
CUST_000081,Small Business,Professional,27,59,8864.9,1,5,4,At Risk
CUST_000082,Small Business,Enterprise,7,54,55885.24,4,5,5,Champions
CUST_000083,Enterprise,Professional,22,24,3750.09,2,3,3,At Risk
CUST_000084,Mid-Market,Professional,27,8,1182.47,1,1,2,Lost
CUST_000085,Startup,Business,19,14,5600.44,3,2,4,Need Attention
CUST_000086,Small Business,Professional,9,27,4125.86,4,3,3,Loyal Customers
CUST_000087,Small Business,Professional,13,27,4094.16,3,3,3,Loyal Customers
CUST_000088,Small Business,Business,17,14,5616.34,3,2,4,Need Attention
CUST_000089,Small Business,Business,12,42,16846.86,4,4,5,Champions
CUST_000091,Small Business,Basic,1,2,96.22,5,1,1,New Customers
CUST_000092,Small Business,Professional,22,11,1763.29,2,1,2,Lost
CUST_000093,Mid-Market,Enterprise,28,37,38331.6,1,4,5,At Risk
CUST_000094,Mid-Market,Enterprise,26,47,47312.75,1,4,5,At Risk
CUST_000095,Enterprise,Basic,3,37,1868.25,5,4,2,Promising
CUST_000096,Small Business,Basic,3,9,458.0,5,1,1,New Customers
CUST_000097,Startup,Enterprise,21,55,56280.87,2,5,5,At Risk
CUST_000098,Enterprise,Basic,11,54,2649.4,4,5,3,Loyal Customers
CUST_000101,Small Business,Basic,5,34,1742.11,5,3,2,Promising
CUST_000102,Small Business,Business,13,18,7260.69,3,2,4,Need Attention
CUST_000103,Small Business,Professional,3,46,6829.99,5,4,4,Champions
CUST_000104,Startup,Professional,6,12,1754.3,5,2,2,New Customers
CUST_000105,Small Business,Enterprise,15,3,3030.54,3,1,3,Need Attention
CUST_000106,Startup,Basic,2,19,943.4,5,2,1,New Customers
CUST_000108,Mid-Market,Business,10,4,1706.89,4,1,2,New Customers
CUST_000109,Mid-Market,Business,9,51,21523.67,4,5,5,Champions
CUST_000110,Mid-Market,Basic,17,3,140.43,3,1,1,Promising
CUST_000111,Mid-Market,Basic,11,37,1870.65,4,4,2,Promising
CUST_000112,Startup,Basic,24,2,102.85,2,1,1,Lost
CUST_000113,Small Business,Professional,28,49,7434.47,1,5,4,At Risk
CUST_000114,Mid-Market,Basic,3,32,1615.97,5,3,2,Promising
CUST_000115,Startup,Professional,19,25,3830.7,3,3,3,Loyal Customers
CUST_000116,Small Business,Basic,29,34,1672.03,1,3,2,Need Attention
CUST_000117,Mid-Market,Business,27,53,21200.97,1,5,5,At Risk
CUST_000118,Small Business,Professional,29,35,5295.32,1,4,3,At Risk
CUST_000120,Startup,Basic,17,48,2412.72,3,5,2,Promising
CUST_000121,Enterprise,Basic,24,44,2206.92,2,4,2,Need Attention
CUST_000122,Mid-Market,Business,3,26,10308.06,5,3,4,Loyal Customers
CUST_000123,Small Business,Business,5,22,8896.07,5,2,4,New Customers
CUST_000124,Mid-Market,Business,16,60,24396.49,3,5,5,Loyal Customers
CUST_000125,Small Business,Business,26,58,23185.47,1,5,5,At Risk
CUST_000126,Small Business,Basic,27,43,2115.77,1,4,2,Need Attention
CUST_000127,Small Business,Business,2,16,6390.7,5,2,4,New Customers
CUST_000128,Startup,Basic,5,23,1201.97,5,2,2,New Customers
CUST_000130,Mid-Market,Business,27,11,4414.45,1,1,3,Hibernating High Value
CUST_000132,Startup,Business,23,22,8953.07,2,2,4,Hibernating High Value
CUST_000133,Small Business,Business,29,10,4268.12,1,1,3,Hibernating High Value
CUST_000134,Mid-Market,Enterprise,16,41,41642.58,3,4,5,Loyal Customers
CUST_000135,Startup,Basic,5,48,2371.6,5,5,2,Promising
CUST_000136,Small Business,Enterprise,6,5,4729.52,5,1,3,New Customers
CUST_000137,Mid-Market,Professional,9,47,7184.95,4,4,4,Champions
CUST_000139,Enterprise,Business,18,48,20015.68,3,5,5,Loyal Customers
CUST_000140,Startup,Professional,30,1,136.19,1,1,1,Lost
CUST_000141,Mid-Market,Business,9,11,4516.46,4,1,3,New Customers
CUST_000143,Startup,Enterprise,17,27,27349.83,3,3,5,Loyal Customers
CUST_000144,Mid-Market,Basic,21,59,2925.45,2,5,3,At Risk
CUST_000145,Enterprise,Basic,14,26,1297.5,3,3,2,Promising
CUST_000146,Enterprise,Basic,17,56,2836.95,3,5,3,Loyal Customers
CUST_000147,Mid-Market,Basic,12,54,2693.89,4,5,3,Loyal Customers
CUST_000148,Mid-Market,Basic,13,35,1699.5,3,4,2,Promising
CUST_000149,Small Business,Basic,13,30,1478.2,3,3,2,Promising
CUST_000150,Mid-Market,Professional,9,26,3986.67,4,3,3,Loyal Customers
CUST_000153,Small Business,Basic,21,47,2264.08,2,4,2,Need Attention
CUST_000154,Small Business,Enterprise,15,8,8129.01,3,1,4,Need Attention
CUST_000155,Small Business,Basic,14,3,144.22,3,1,1,Promising
CUST_000156,Mid-Market,Basic,16,34,1692.93,3,3,2,Promising
CUST_000157,Small Business,Basic,23,57,2854.0,2,5,3,At Risk
CUST_000159,Small Business,Business,5,37,15094.869999999999,5,4,5,Champions
CUST_000160,Startup,Professional,12,9,1375.52,4,1,2,New Customers
CUST_000161,Enterprise,Professional,13,29,4430.59,3,3,3,Loyal Customers
CUST_000162,Startup,Basic,3,3,140.57,5,1,1,New Customers
CUST_000163,Mid-Market,Business,27,40,16177.05,1,4,5,At Risk
CUST_000164,Startup,Business,6,12,5046.6,5,2,3,New Customers
CUST_000165,Small Business,Basic,27,39,1897.87,1,4,2,Need Attention
CUST_000166,Startup,Basic,4,2,91.97,5,1,1,New Customers
CUST_000167,Enterprise,Basic,6,27,1390.47,5,3,2,Promising
CUST_000169,Small Business,Basic,14,44,2223.54,3,4,2,Promising
CUST_000170,Small Business,Professional,26,35,5415.5,1,4,4,At Risk
CUST_000171,Small Business,Basic,30,47,2363.76,1,4,2,Need Attention
CUST_000172,Small Business,Basic,11,32,1597.73,4,3,2,Promising
CUST_000173,Small Business,Basic,26,34,1736.61,1,3,2,Need Attention
CUST_000174,Mid-Market,Basic,4,48,2443.14,5,5,3,Loyal Customers
CUST_000175,Small Business,Basic,6,54,2671.67,5,5,3,Loyal Customers
CUST_000177,Startup,Professional,5,9,1306.76,5,1,2,New Customers
CUST_000179,Startup,Business,7,12,4616.71,4,2,3,New Customers
CUST_000180,Mid-Market,Business,21,4,1568.62,2,1,2,Lost
CUST_000181,Startup,Business,14,8,3258.23,3,1,3,Need Attention
CUST_000184,Small Business,Basic,13,19,947.86,3,2,1,Promising
CUST_000185,Mid-Market,Professional,14,42,6356.76,3,4,4,Loyal Customers
CUST_000186,Startup,Professional,14,27,4099.7,3,3,3,Loyal Customers
CUST_000187,Small Business,Professional,26,57,8487.02,1,5,4,At Risk
CUST_000188,Enterprise,Basic,8,3,145.95,4,1,1,New Customers
CUST_000189,Mid-Market,Professional,3,45,6923.37,5,4,4,Champions
CUST_000190,Startup,Enterprise,30,13,13076.529999999999,1,2,5,Hibernating High Value
CUST_000191,Startup,Basic,13,53,2648.76,3,5,3,Loyal Customers
CUST_000192,Startup,Enterprise,13,36,35676.2,3,4,5,Loyal Customers
CUST_000193,Small Business,Professional,26,5,762.9300000000001,1,1,1,Lost
CUST_000194,Mid-Market,Basic,22,21,1029.1399999999999,2,2,1,Lost
CUST_000195,Mid-Market,Professional,7,43,6417.21,4,4,4,Champions
CUST_000196,Mid-Market,Professional,6,26,3997.81,5,3,3,Loyal Customers
CUST_000197,Enterprise,Professional,23,43,6529.96,2,4,4,At Risk
CUST_000198,Small Business,Professional,2,22,3312.33,5,2,3,New Customers
CUST_000199,Mid-Market,Professional,13,4,599.44,3,1,1,Promising
CUST_000200,Small Business,Basic,11,19,926.71,4,2,1,New Customers
CUST_000202,Small Business,Basic,7,1,45.67,4,1,1,New Customers
CUST_000203,Startup,Enterprise,3,42,43033.08,5,4,5,Champions
CUST_000204,Small Business,Basic,19,38,1958.89,3,4,2,Promising
CUST_000205,Mid-Market,Business,21,42,17002.2,2,4,5,At Risk
CUST_000206,Small Business,Basic,15,8,385.94,3,1,1,Promising
CUST_000207,Enterprise,Basic,22,27,1333.7,2,3,2,Need Attention
CUST_000209,Small Business,Basic,25,34,1673.75,2,3,2,Need Attention
CUST_000210,Enterprise,Enterprise,14,26,25802.06,3,3,5,Loyal Customers
CUST_000211,Mid-Market,Business,30,6,2294.36,1,1,2,Lost
CUST_000212,Small Business,Enterprise,3,9,8854.439999999999,5,1,4,New Customers
CUST_000213,Startup,Business,6,16,6462.99,5,2,4,New Customers
CUST_000214,Startup,Professional,5,1,155.92,5,1,1,New Customers
CUST_000215,Small Business,Business,15,16,6567.09,3,2,4,Need Attention
CUST_000216,Mid-Market,Professional,10,6,900.12,4,1,1,New Customers
CUST_000217,Startup,Business,22,10,4089.85,2,1,3,Hibernating High Value
CUST_000218,Startup,Basic,28,15,740.23,1,2,1,Lost
CUST_000219,Small Business,Professional,26,11,1631.71,1,1,2,Lost
CUST_000220,Startup,Professional,23,19,2855.31,2,2,3,Hibernating High Value
CUST_000222,Startup,Professional,29,19,2805.64,1,2,3,Hibernating High Value
CUST_000223,Startup,Business,22,14,5650.27,2,2,4,Hibernating High Value
CUST_000224,Enterprise,Professional,30,14,2097.04,1,2,2,Lost
CUST_000225,Small Business,Professional,2,18,2707.8,5,2,3,New Customers
CUST_000226,Startup,Basic,7,40,1953.55,4,4,2,Promising
CUST_000227,Mid-Market,Business,12,40,16115.630000000001,4,4,5,Champions
CUST_000228,Small Business,Professional,3,29,4364.68,5,3,3,Loyal Customers
CUST_000229,Startup,Enterprise,28,2,1966.04,1,1,2,Lost
CUST_000230,Small Business,Enterprise,25,18,18193.3,2,2,5,Hibernating High Value
CUST_000231,Mid-Market,Enterprise,17,15,15356.61,3,2,5,Need Attention
CUST_000233,Mid-Market,Basic,12,12,622.91,4,2,1,New Customers
CUST_000234,Small Business,Enterprise,26,13,13115.32,1,2,5,Hibernating High Value
CUST_000236,Small Business,Enterprise,18,50,49486.64,3,5,5,Loyal Customers
CUST_000237,Small Business,Professional,4,5,734.7,5,1,1,New Customers
CUST_000238,Small Business,Professional,29,19,2931.75,1,2,3,Hibernating High Value
CUST_000239,Small Business,Basic,20,19,943.22,2,2,1,Lost
CUST_000240,Small Business,Business,17,38,15286.69,3,4,5,Loyal Customers
CUST_000241,Small Business,Business,6,39,16197.75,5,4,5,Champions
CUST_000242,Mid-Market,Basic,2,15,765.19,5,2,1,New Customers
CUST_000243,Small Business,Basic,9,5,254.89,4,1,1,New Customers
CUST_000244,Mid-Market,Professional,12,7,1030.19,4,1,1,New Customers
CUST_000245,Startup,Business,27,11,4422.48,1,1,3,Hibernating High Value
CUST_000246,Enterprise,Basic,21,19,943.13,2,2,1,Lost
CUST_000247,Small Business,Basic,20,4,190.2,2,1,1,Lost
CUST_000249,Small Business,Basic,2,11,551.6,5,1,1,New Customers
CUST_000250,Enterprise,Enterprise,14,46,46652.56,3,4,5,Loyal Customers
CUST_000251,Small Business,Business,14,42,17111.96,3,4,5,Loyal Customers
CUST_000252,Small Business,Business,16,18,7108.89,3,2,4,Need Attention
CUST_000253,Small Business,Business,18,10,4032.15,3,1,3,Need Attention
CUST_000255,Small Business,Business,20,14,5712.34,2,2,4,Hibernating High Value
CUST_000256,Small Business,Enterprise,21,23,24024.7,2,2,5,Hibernating High Value
CUST_000257,Small Business,Business,7,7,2703.17,4,1,3,New Customers
CUST_000258,Small Business,Professional,25,6,881.09,2,1,1,Lost
CUST_000259,Small Business,Business,22,29,11755.21,2,3,4,At Risk
CUST_000260,Mid-Market,Enterprise,22,24,24812.67,2,3,5,At Risk
CUST_000261,Enterprise,Basic,3,38,1922.69,5,4,2,Promising
CUST_000262,Mid-Market,Basic,9,57,2889.61,4,5,3,Loyal Customers
CUST_000263,Mid-Market,Enterprise,29,60,61514.52,1,5,5,At Risk
CUST_000265,Small Business,Professional,24,53,8040.64,2,5,4,At Risk
CUST_000266,Mid-Market,Professional,23,8,1195.27,2,1,2,Lost
CUST_000267,Startup,Basic,27,32,1617.13,1,3,2,Need Attention
CUST_000268,Enterprise,Professional,6,3,471.54999999999995,5,1,1,New Customers
CUST_000269,Startup,Enterprise,29,19,19237.48,1,2,5,Hibernating High Value
CUST_000270,Small Business,Basic,12,48,2338.04,4,5,2,Promising
CUST_000271,Small Business,Professional,4,14,2247.69,5,2,2,New Customers
CUST_000272,Enterprise,Enterprise,12,6,5989.88,4,1,4,New Customers
CUST_000273,Small Business,Basic,4,23,1136.73,5,2,1,New Customers
CUST_000274,Small Business,Business,19,25,10072.71,3,3,4,Loyal Customers
CUST_000275,Startup,Professional,28,4,573.14,1,1,1,Lost
CUST_000277,Startup,Enterprise,9,5,5025.98,4,1,3,New Customers
CUST_000278,Mid-Market,Professional,2,4,583.29,5,1,1,New Customers
CUST_000279,Small Business,Business,21,13,5354.02,2,2,4,Hibernating High Value
CUST_000280,Small Business,Enterprise,28,52,54159.76,1,5,5,At Risk
CUST_000281,Small Business,Enterprise,16,33,34401.84,3,3,5,Loyal Customers
CUST_000282,Mid-Market,Professional,29,12,2049.2,1,2,2,Lost
CUST_000283,Small Business,Professional,10,54,8174.84,4,5,4,Champions
CUST_000284,Small Business,Basic,9,21,1095.51,4,2,1,New Customers
CUST_000285,Small Business,Basic,29,56,2790.02,1,5,3,At Risk
CUST_000286,Mid-Market,Professional,27,47,7470.4,1,4,4,At Risk
CUST_000287,Startup,Basic,26,35,1727.6,1,4,2,Need Attention
CUST_000288,Enterprise,Business,11,51,20929.9,4,5,5,Champions
CUST_000289,Startup,Professional,25,51,7848.28,2,5,4,At Risk
CUST_000290,Startup,Business,29,31,12473.52,1,3,5,At Risk
CUST_000292,Small Business,Basic,15,54,2670.95,3,5,3,Loyal Customers
CUST_000294,Startup,Business,17,10,4143.87,3,1,3,Need Attention
CUST_000295,Mid-Market,Basic,10,36,1783.96,4,4,2,Promising
CUST_000296,Small Business,Basic,8,56,2825.52,4,5,3,Loyal Customers
CUST_000297,Small Business,Business,3,41,16346.1,5,4,5,Champions
CUST_000298,Small Business,Basic,22,20,991.62,2,2,1,Lost
CUST_000299,Mid-Market,Business,10,23,9345.94,4,2,4,New Customers
CUST_000300,Small Business,Enterprise,26,54,54539.42,1,5,5,At Risk
CUST_000301,Startup,Professional,20,16,2376.29,2,2,2,Lost
CUST_000302,Enterprise,Business,23,45,18499.1,2,4,5,At Risk
CUST_000303,Startup,Professional,27,15,2258.4,1,2,2,Lost
CUST_000304,Enterprise,Business,2,2,899.15,5,1,1,New Customers
CUST_000305,Small Business,Business,10,39,15992.97,4,4,5,Champions
CUST_000306,Enterprise,Basic,29,35,1756.6200000000001,1,4,2,Need Attention
CUST_000307,Enterprise,Professional,19,29,4302.37,3,3,3,Loyal Customers
CUST_000308,Startup,Professional,25,47,7134.0,2,4,4,At Risk
CUST_000309,Small Business,Basic,30,15,770.7,1,2,1,Lost
CUST_000310,Small Business,Enterprise,17,10,10147.630000000001,3,1,4,Need Attention
CUST_000311,Mid-Market,Professional,5,56,8473.5,5,5,4,Champions
CUST_000312,Small Business,Professional,14,22,3304.17,3,2,3,Need Attention
CUST_000313,Small Business,Basic,18,32,1606.24,3,3,2,Promising
CUST_000314,Small Business,Professional,1,4,565.99,5,1,1,New Customers
CUST_000315,Mid-Market,Business,28,44,17281.99,1,4,5,At Risk
CUST_000316,Startup,Professional,14,30,4665.66,3,3,3,Loyal Customers
CUST_000317,Small Business,Business,10,6,2334.72,4,1,2,New Customers
CUST_000318,Small Business,Business,27,42,16809.02,1,4,5,At Risk
CUST_000319,Mid-Market,Basic,28,49,2396.6,1,5,2,Need Attention
CUST_000320,Startup,Professional,10,32,4839.64,4,3,3,Loyal Customers
CUST_000322,Small Business,Basic,24,1,47.16,2,1,1,Lost
CUST_000324,Startup,Enterprise,3,56,57694.87,5,5,5,Champions
CUST_000325,Mid-Market,Enterprise,22,13,13810.51,2,2,5,Hibernating High Value
CUST_000326,Startup,Basic,17,17,831.1800000000001,3,2,1,Promising
CUST_000327,Small Business,Basic,9,7,360.34000000000003,4,1,1,New Customers
CUST_000328,Mid-Market,Basic,12,52,2539.07,4,5,3,Loyal Customers
CUST_000329,Startup,Business,9,2,783.06,4,1,1,New Customers
CUST_000331,Startup,Professional,20,49,7436.67,2,5,4,At Risk
CUST_000332,Startup,Professional,16,40,5981.37,3,4,4,Loyal Customers
CUST_000333,Startup,Business,18,27,11135.02,3,3,4,Loyal Customers
CUST_000335,Startup,Basic,3,32,1603.43,5,3,2,Promising
CUST_000336,Small Business,Basic,29,60,2985.2,1,5,3,At Risk
CUST_000338,Small Business,Enterprise,11,17,16929.25,4,2,5,New Customers
CUST_000340,Small Business,Basic,29,5,246.1,1,1,1,Lost
CUST_000341,Small Business,Enterprise,3,46,46469.14,5,4,5,Champions
CUST_000342,Mid-Market,Basic,5,26,1256.61,5,3,2,Promising
CUST_000343,Startup,Basic,2,22,1087.0,5,2,1,New Customers
CUST_000345,Small Business,Business,22,60,24163.71,2,5,5,At Risk
CUST_000346,Startup,Professional,21,19,2786.12,2,2,3,Hibernating High Value
CUST_000347,Small Business,Business,4,24,9570.2,5,3,4,Loyal Customers
CUST_000348,Mid-Market,Business,22,5,2245.57,2,1,2,Lost
CUST_000349,Small Business,Basic,5,34,1747.21,5,3,2,Promising
CUST_000350,Small Business,Business,5,54,22506.59,5,5,5,Champions
CUST_000351,Small Business,Professional,3,23,3492.77,5,2,3,New Customers
CUST_000352,Enterprise,Enterprise,24,47,47650.4,2,4,5,At Risk
CUST_000353,Mid-Market,Enterprise,3,56,56544.04,5,5,5,Champions
CUST_000354,Mid-Market,Professional,8,59,8875.3,4,5,4,Champions
CUST_000356,Enterprise,Basic,8,5,256.07,4,1,1,New Customers
CUST_000358,Startup,Professional,22,41,6205.53,2,4,4,At Risk
CUST_000359,Mid-Market,Business,25,6,2633.97,2,1,3,Hibernating High Value
CUST_000360,Small Business,Professional,17,13,1898.12,3,2,2,Promising
CUST_000361,Startup,Professional,15,13,1895.46,3,2,2,Promising
CUST_000362,Startup,Business,18,57,23575.05,3,5,5,Loyal Customers
CUST_000364,Small Business,Business,27,19,7588.32,1,2,4,Hibernating High Value
CUST_000365,Startup,Basic,22,23,1229.8799999999999,2,2,2,Lost
CUST_000366,Small Business,Business,7,44,17831.96,4,4,5,Champions
CUST_000367,Startup,Enterprise,26,11,10771.2,1,1,4,Hibernating High Value
CUST_000369,Startup,Professional,30,55,8262.91,1,5,4,At Risk
CUST_000370,Small Business,Enterprise,29,30,30277.73,1,3,5,At Risk
CUST_000371,Small Business,Professional,4,32,4908.44,5,3,3,Loyal Customers
CUST_000372,Mid-Market,Professional,28,49,7357.99,1,5,4,At Risk
CUST_000373,Small Business,Basic,6,4,203.73,5,1,1,New Customers
CUST_000374,Enterprise,Professional,30,33,4980.56,1,3,3,At Risk
CUST_000375,Startup,Professional,30,21,3113.21,1,2,3,Hibernating High Value
CUST_000376,Startup,Basic,22,3,151.1,2,1,1,Lost
CUST_000377,Mid-Market,Professional,17,29,4569.16,3,3,3,Loyal Customers
CUST_000378,Startup,Basic,1,5,276.58,5,1,1,New Customers
CUST_000379,Startup,Business,22,55,21988.13,2,5,5,At Risk
CUST_000380,Small Business,Enterprise,9,8,8599.61,4,1,4,New Customers
CUST_000381,Small Business,Professional,20,34,5294.22,2,3,3,At Risk
CUST_000382,Mid-Market,Professional,30,47,7224.21,1,4,4,At Risk
CUST_000383,Mid-Market,Professional,7,18,2759.11,4,2,3,New Customers
CUST_000384,Mid-Market,Basic,5,34,1735.39,5,3,2,Promising
CUST_000385,Startup,Enterprise,24,10,10134.14,2,1,4,Hibernating High Value
CUST_000386,Enterprise,Basic,15,14,712.52,3,2,1,Promising
CUST_000387,Startup,Basic,27,22,1085.72,1,2,1,Lost
CUST_000388,Mid-Market,Professional,28,20,2987.1,1,2,3,Hibernating High Value
CUST_000390,Startup,Professional,30,39,5943.82,1,4,4,At Risk
CUST_000391,Startup,Basic,9,26,1262.94,4,3,2,Promising
CUST_000392,Mid-Market,Business,13,38,15542.51,3,4,5,Loyal Customers
CUST_000393,Small Business,Professional,27,45,6815.17,1,4,4,At Risk
CUST_000394,Small Business,Basic,19,29,1407.08,3,3,2,Promising
CUST_000395,Enterprise,Professional,17,45,6965.06,3,4,4,Loyal Customers
CUST_000396,Mid-Market,Basic,2,15,732.0699999999999,5,2,1,New Customers
CUST_000397,Small Business,Professional,20,26,3888.57,2,3,3,At Risk
CUST_000398,Small Business,Business,12,36,14530.62,4,4,5,Champions
CUST_000399,Small Business,Business,11,5,2058.78,4,1,2,New Customers
CUST_000400,Small Business,Basic,24,59,2989.85,2,5,3,At Risk
CUST_000401,Small Business,Basic,14,53,2629.46,3,5,3,Loyal Customers
CUST_000402,Small Business,Basic,11,15,752.71,4,2,1,New Customers
CUST_000403,Small Business,Basic,15,42,2093.61,3,4,2,Promising
CUST_000404,Startup,Basic,18,46,2228.28,3,4,2,Promising
CUST_000405,Small Business,Basic,27,1,47.83,1,1,1,Lost
CUST_000406,Startup,Basic,2,18,958.6999999999999,5,2,1,New Customers
CUST_000407,Mid-Market,Professional,4,60,9018.87,5,5,4,Champions
CUST_000408,Small Business,Professional,18,53,8014.9,3,5,4,Loyal Customers
CUST_000409,Mid-Market,Basic,7,18,888.22,4,2,1,New Customers
CUST_000410,Small Business,Professional,23,34,5139.38,2,3,3,At Risk
CUST_000411,Small Business,Basic,11,7,344.4,4,1,1,New Customers
CUST_000412,Startup,Business,21,51,20723.420000000002,2,5,5,At Risk
CUST_000413,Mid-Market,Professional,3,32,4941.4400000000005,5,3,3,Loyal Customers
CUST_000415,Small Business,Basic,18,11,534.0,3,1,1,Promising
CUST_000417,Mid-Market,Business,15,27,11007.6,3,3,4,Loyal Customers
CUST_000418,Mid-Market,Enterprise,5,34,34820.03,5,3,5,Loyal Customers
CUST_000419,Mid-Market,Basic,11,39,1945.33,4,4,2,Promising
CUST_000420,Mid-Market,Business,12,10,3812.72,4,1,3,New Customers
CUST_000421,Mid-Market,Basic,3,43,2169.26,5,4,2,Promising
CUST_000422,Mid-Market,Basic,2,21,1059.77,5,2,1,New Customers
CUST_000423,Small Business,Basic,23,25,1273.12,2,3,2,Need Attention
CUST_000424,Small Business,Business,16,10,4031.3,3,1,3,Need Attention
CUST_000425,Startup,Professional,14,60,9042.22,3,5,4,Loyal Customers
CUST_000426,Small Business,Enterprise,21,21,21287.71,2,2,5,Hibernating High Value
CUST_000427,Startup,Professional,3,20,3049.77,5,2,3,New Customers
CUST_000428,Startup,Basic,25,55,2760.94,2,5,3,At Risk
